time (min),uvrD,lexA,umuDC,recA,uvrA,uvrY,ruvA,polB
174,0.0330181836,0.1223947763,0.0223108113,0.3335880614,0.0814629257,0.0204776482,0.0034435918,0.0182503037
180,0.0362932592,0.1151134114,0.0244062735,0.3318845825,0.0865345304,0.0195346902,0.0000000000,0.0144586894
186,0.0254254301,0.0901092718,0.0206468970,0.2607187289,0.0791828283,0.0169534617,0.0000000000,0.0084653743
192,0.0199742976,0.0735851600,0.0174531488,0.2500435944,0.0814621930,0.0178517263,0.0000000000,0.0067824104
198,0.0120357196,0.0903730362,0.0146902159,0.2379749042,0.0816622144,0.0146653049,0.0000000000,0.0021196406
204,0.0056665402,0.0838895589,0.0125361394,0.2050673551,0.0745816036,0.0094068670,0.0000000000,0.0010513945
210,0.0019130251,0.0661059718,0.0121368293,0.1633544687,0.0658304844,0.0055339252,0.0000000000,0.0043931439
216,0.0053551515,0.0825143202,0.0126460413,0.1417162568,0.0837847858,0.0082968581,0.0000000000,0.0047294436
222,0.0050379015,0.0877024209,0.0129515684,0.1630123075,0.0852926393,0.0046261358,0.0000000000,0.0022332059
228,0.0106245796,0.0736100711,0.0137333370,0.1550048576,0.0896125153,0.0046935423,0.0000000000,0.0047580181
234,0.0203516274,0.0537845074,0.0134314733,0.1583114384,0.0915519169,0.0027636656,0.0000000000,0.0047016018
240,0.0291254596,0.0527924598,0.0106817286,0.1746787568,0.0981130582,0.0064761506,0.0000000000,0.0029058053
246,0.0299218818,0.0343333426,0.0080096479,0.1773823427,0.0932546631,0.0056973127,0.0037564457,0.0060167608
252,0.0292463516,0.0337362091,0.0078191514,0.1501200861,0.0801968562,0.0106025992,0.0077986363,0.0103161217
258,0.0264086855,0.0371922565,0.0089972993,0.1673277874,0.0815567086,0.0101226944,0.0095116401,0.0059317700
264,0.0256965214,0.0492228473,0.0048019788,0.1504673760,0.0824666961,0.0048811082,0.0099351286,0.0032281841
270,0.0212813971,0.0401112500,0.0090771614,0.0946907141,0.0671602970,0.0100142579,0.0104040432,0.0037058909
276,0.0192540741,0.0352052307,0.0138762095,0.0917262945,0.0596071082,0.0089071798,0.0112033961,0.0000000000
282,0.0168494213,0.0237094957,0.0098120385,0.0876144994,0.0616945109,0.0000000000,0.0041718748,0.0000000000
288,0.0113785064,0.0005414499,0.0086719898,0.0479054902,0.0550747553,0.0000000000,0.0025460599,0.0000000000
294,0.0111140093,0.0000000000,0.0121192450,0.0441527079,0.0536665460,0.0000000000,0.0000000000,0.0000000000
