Year,Candidate_ID,Name,State,Category,Total_Score,Percentile,AIR (All India Rank),State_Rank,Category_Rank,Qualified_Status,Cutoff_Score
2024,NEET691258,Candidate_7677,West Bengal,SC,473,65.69,45487,615,57,Yes,113
2024,NEET980323,Candidate_9145,Uttar Pradesh,SC,597,82.92,198476,2016,5046,Yes,131
2022,NEET154579,Candidate_4008,Uttar Pradesh,SC,249,34.58,162756,1662,5053,Yes,104
2016,NEET956472,Candidate_5528,West Bengal,General,502,69.72,114424,4256,9815,Yes,147
2021,NEET226298,Candidate_4887,Maharashtra,General,556,77.22,38611,759,8939,Yes,142
2024,NEET544616,Candidate_5082,Tamil Nadu,General,389,54.03,177652,3172,6185,Yes,142
2024,NEET313940,Candidate_5679,Maharashtra,EWS,101,14.03,173246,1263,7138,No,148
2016,NEET941696,Candidate_4375,Uttar Pradesh,OBC,635,88.19,10343,1272,4983,Yes,146
2023,NEET774898,Candidate_8049,Maharashtra,SC,280,38.89,41123,277,3573,Yes,106
2024,NEET971874,Candidate_9001,Uttar Pradesh,SC,709,98.47,55340,4904,7105,Yes,103
2023,NEET894024,Candidate_6275,Tamil Nadu,SC,388,53.89,178243,1501,9161,Yes,137
2019,NEET541314,Candidate_1234,Maharashtra,ST,245,34.03,192120,4867,6910,Yes,111
2016,NEET501432,Candidate_5104,Uttar Pradesh,General,285,39.58,182560,1653,1333,Yes,148
2024,NEET187448,Candidate_4483,Maharashtra,EWS,378,52.5,114354,654,3299,Yes,149
2021,NEET591021,Candidate_2735,Maharashtra,SC,415,57.64,116882,3379,8023,Yes,124
2023,NEET226954,Candidate_7762,Delhi,ST,397,55.14,197241,381,9779,Yes,112
2019,NEET916405,Candidate_9266,Maharashtra,ST,207,28.75,60863,3249,7132,Yes,100
2023,NEET323770,Candidate_5141,Maharashtra,EWS,284,39.44,191277,1645,5265,Yes,145
2015,NEET260567,Candidate_2613,Maharashtra,EWS,498,69.17,197119,3702,9335,Yes,149
2015,NEET311758,Candidate_4551,West Bengal,ST,644,89.44,17009,199,9874,Yes,101
2016,NEET178912,Candidate_6620,Maharashtra,ST,701,97.36,164306,3509,7282,Yes,139
2023,NEET212197,Candidate_5146,Tamil Nadu,EWS,555,77.08,132357,1308,4900,Yes,143
2020,NEET609554,Candidate_6451,West Bengal,OBC,235,32.64,18054,4460,1708,Yes,146
2022,NEET176556,Candidate_4903,Karnataka,ST,716,99.44,49594,2397,5860,Yes,120
2015,NEET867307,Candidate_2372,Karnataka,General,416,57.78,10129,1872,4021,Yes,142
2017,NEET719787,Candidate_4363,Uttar Pradesh,ST,503,69.86,23178,4106,6980,Yes,130
2024,NEET255813,Candidate_7646,West Bengal,General,242,33.61,39477,1298,9592,Yes,149
2023,NEET422630,Candidate_5108,Delhi,SC,618,85.83,182448,474,9871,Yes,104
2024,NEET364806,Candidate_9331,Uttar Pradesh,OBC,702,97.5,128319,1966,3890,Yes,139
2022,NEET566674,Candidate_4627,Karnataka,OBC,305,42.36,52669,4425,2370,Yes,145
2015,NEET596623,Candidate_5593,Uttar Pradesh,ST,163,22.64,157284,3132,9646,Yes,131
2023,NEET833532,Candidate_3056,Maharashtra,ST,452,62.78,177863,4792,2034,Yes,128
2024,NEET385586,Candidate_5476,Maharashtra,ST,134,18.61,125445,2624,5985,No,113
2018,NEET459666,Candidate_8116,Maharashtra,SC,215,29.86,126614,2839,3024,Yes,115
2018,NEET894875,Candidate_1439,Tamil Nadu,EWS,391,54.31,69468,2365,4620,Yes,141
2021,NEET683730,Candidate_6147,Karnataka,SC,322,44.72,133389,1674,7353,Yes,135
2021,NEET577523,Candidate_1072,Maharashtra,EWS,382,53.06,65310,20,9159,Yes,145
2015,NEET644959,Candidate_7002,Karnataka,SC,340,47.22,189167,4105,8607,Yes,120
2022,NEET748381,Candidate_7178,Delhi,EWS,297,41.25,63344,2150,7994,Yes,141
2023,NEET410783,Candidate_5356,Maharashtra,ST,282,39.17,198478,2720,1249,Yes,108
2024,NEET568649,Candidate_9467,Maharashtra,General,367,50.97,38079,3581,6908,Yes,139
2015,NEET678492,Candidate_9304,Delhi,ST,568,78.89,78902,2534,7889,Yes,120
2017,NEET714958,Candidate_4341,Delhi,ST,197,27.36,73233,1061,9268,Yes,119
2016,NEET572458,Candidate_3344,Maharashtra,EWS,208,28.89,149835,1031,8929,Yes,141
2020,NEET290816,Candidate_4536,Uttar Pradesh,EWS,421,58.47,196174,1112,2949,Yes,143
2015,NEET715831,Candidate_9105,Maharashtra,OBC,388,53.89,75976,3143,7518,Yes,139
2022,NEET185522,Candidate_9886,Maharashtra,EWS,333,46.25,92750,4302,5183,Yes,139
2021,NEET654009,Candidate_9851,Tamil Nadu,SC,330,45.83,71742,4977,732,Yes,104
2019,NEET879799,Candidate_2228,Karnataka,EWS,491,68.19,166405,2485,2759,Yes,143
2023,NEET880181,Candidate_7496,Uttar Pradesh,General,671,93.19,136218,2582,2333,Yes,140
2024,NEET326839,Candidate_2582,Delhi,General,545,75.69,15456,2978,1880,Yes,149
2020,NEET869999,Candidate_6294,Karnataka,SC,541,75.14,85950,3224,4035,Yes,132
2021,NEET599475,Candidate_8393,West Bengal,General,154,21.39,24911,2702,2176,Yes,146
2018,NEET545418,Candidate_9095,Maharashtra,ST,415,57.64,179469,3171,7373,Yes,117
2015,NEET571016,Candidate_9729,West Bengal,ST,254,35.28,109231,2950,8641,Yes,138
2020,NEET527734,Candidate_3031,Uttar Pradesh,OBC,220,30.56,124992,4211,2121,Yes,140
2023,NEET318557,Candidate_9253,Delhi,SC,628,87.22,32295,3618,8032,Yes,128
2017,NEET231790,Candidate_9041,Karnataka,ST,148,20.56,149768,2772,9388,Yes,140
2024,NEET405552,Candidate_7974,Karnataka,SC,614,85.28,95044,3274,8812,Yes,129
2022,NEET140048,Candidate_7557,Uttar Pradesh,ST,531,73.75,45479,4302,1998,Yes,125
2023,NEET548564,Candidate_1188,Tamil Nadu,EWS,219,30.42,72004,3713,9871,Yes,149
2021,NEET165268,Candidate_8430,Delhi,SC,427,59.31,87975,4922,1220,Yes,135
2024,NEET352233,Candidate_4943,West Bengal,General,717,99.58,156000,2711,5465,Yes,142
2020,NEET629354,Candidate_1424,West Bengal,EWS,693,96.25,156706,1811,1633,Yes,147
2015,NEET910334,Candidate_8940,West Bengal,EWS,118,16.39,44517,2605,3740,No,147
2020,NEET664766,Candidate_4086,Delhi,EWS,664,92.22,102290,3943,2616,Yes,143
2015,NEET459095,Candidate_4088,Karnataka,General,291,40.42,11561,2612,5314,Yes,145
2024,NEET684394,Candidate_6128,Tamil Nadu,ST,194,26.94,60500,2156,6210,Yes,111
2021,NEET228599,Candidate_7305,Tamil Nadu,OBC,627,87.08,180526,3649,1085,Yes,148
2022,NEET266676,Candidate_7033,West Bengal,SC,468,65.0,83410,2758,6880,Yes,116
2018,NEET267143,Candidate_3667,Delhi,SC,497,69.03,24003,4177,4688,Yes,133
2022,NEET136263,Candidate_7193,Tamil Nadu,General,441,61.25,75835,3522,6800,Yes,143
2015,NEET898041,Candidate_5097,Delhi,SC,118,16.39,13471,3825,4225,No,127
2017,NEET202188,Candidate_7919,West Bengal,ST,265,36.81,151862,1589,1435,Yes,102
2018,NEET724849,Candidate_1257,Delhi,OBC,197,27.36,16878,2135,675,Yes,149
2022,NEET451973,Candidate_8493,Delhi,General,621,86.25,117748,70,2079,Yes,144
2020,NEET653354,Candidate_3345,Uttar Pradesh,EWS,597,82.92,29729,38,9193,Yes,148
2019,NEET386934,Candidate_2025,Karnataka,OBC,536,74.44,142548,1035,4346,Yes,141
2023,NEET751277,Candidate_3961,Karnataka,OBC,295,40.97,77561,1040,8682,Yes,147
2023,NEET684055,Candidate_5010,Karnataka,General,455,63.19,67397,3931,2114,Yes,148
2015,NEET347367,Candidate_4159,Uttar Pradesh,OBC,223,30.97,175943,4101,9383,Yes,149
2018,NEET137235,Candidate_1349,Maharashtra,SC,133,18.47,59445,1744,8290,No,139
2017,NEET904501,Candidate_5131,Tamil Nadu,General,473,65.69,62347,2854,5216,Yes,145
2021,NEET255067,Candidate_4064,Delhi,EWS,289,40.14,99925,3454,4619,Yes,141
2021,NEET420157,Candidate_3332,West Bengal,SC,468,65.0,28849,3660,1943,Yes,133
2015,NEET291227,Candidate_5423,Uttar Pradesh,OBC,524,72.78,56553,3424,2987,Yes,142
2018,NEET528741,Candidate_2983,Karnataka,OBC,216,30.0,61809,944,610,Yes,149
2020,NEET602108,Candidate_9988,West Bengal,ST,237,32.92,108495,3239,8408,Yes,121
2024,NEET480329,Candidate_9796,Karnataka,ST,563,78.19,61303,2354,415,Yes,116
2018,NEET725447,Candidate_6938,West Bengal,OBC,618,85.83,82973,4904,9709,Yes,150
2016,NEET267861,Candidate_8580,Karnataka,EWS,140,19.44,36173,3827,6131,Yes,144
2017,NEET470190,Candidate_2470,Uttar Pradesh,EWS,360,50.0,172455,3197,1981,Yes,149
2019,NEET219829,Candidate_7878,Delhi,EWS,212,29.44,187160,679,8948,Yes,146
2019,NEET814070,Candidate_1160,West Bengal,EWS,478,66.39,129014,3749,5448,Yes,150
2019,NEET409212,Candidate_6845,Uttar Pradesh,OBC,108,15.0,24727,1037,2048,No,150
2017,NEET552909,Candidate_3695,Maharashtra,EWS,275,38.19,153422,454,5509,Yes,145
2021,NEET368148,Candidate_6309,Karnataka,General,512,71.11,4800,4433,8842,Yes,147
2024,NEET632195,Candidate_1682,Maharashtra,ST,466,64.72,156531,3951,2243,Yes,121
2023,NEET735874,Candidate_2659,Karnataka,EWS,702,97.5,90315,3111,5071,Yes,150
2018,NEET708005,Candidate_4557,Delhi,SC,371,51.53,85857,4185,1761,Yes,117
2021,NEET912730,Candidate_5505,West Bengal,ST,430,59.72,119815,3139,8420,Yes,133
2018,NEET177473,Candidate_3522,Uttar Pradesh,SC,184,25.56,35964,2515,9712,Yes,134
2021,NEET554759,Candidate_1966,West Bengal,General,215,29.86,1111,1494,3163,Yes,138
2021,NEET380725,Candidate_8355,Maharashtra,EWS,186,25.83,189497,1104,9163,Yes,138
2018,NEET208617,Candidate_3873,West Bengal,OBC,490,68.06,48700,3210,8800,Yes,147
2022,NEET830128,Candidate_6106,Tamil Nadu,EWS,207,28.75,45845,3335,8988,Yes,146
2017,NEET487220,Candidate_4402,West Bengal,ST,156,21.67,77772,744,1482,Yes,117
2016,NEET411870,Candidate_4550,Karnataka,OBC,203,28.19,77753,4047,552,Yes,149
2016,NEET761255,Candidate_3455,West Bengal,OBC,578,80.28,17600,3031,2270,Yes,138
2024,NEET314946,Candidate_1191,Tamil Nadu,SC,622,86.39,119774,2018,551,Yes,133
2021,NEET550532,Candidate_2311,Karnataka,OBC,690,95.83,301,860,175,Yes,142
2023,NEET411602,Candidate_1258,Delhi,EWS,719,99.86,177929,827,7723,Yes,143
2021,NEET758003,Candidate_2281,Delhi,General,391,54.31,91127,2189,1640,Yes,138
2021,NEET315329,Candidate_2728,Karnataka,SC,271,37.64,45110,468,9837,Yes,134
2022,NEET201694,Candidate_5694,Maharashtra,General,427,59.31,68326,4168,3668,Yes,143
2024,NEET344183,Candidate_7842,Maharashtra,SC,668,92.78,21376,3565,9341,Yes,108
2023,NEET587284,Candidate_3973,Karnataka,OBC,525,72.92,54399,4591,4403,Yes,142
2022,NEET921262,Candidate_7970,Maharashtra,General,282,39.17,131697,2151,4100,Yes,146
2020,NEET815846,Candidate_5476,Tamil Nadu,SC,360,50.0,186998,1902,803,Yes,105
2017,NEET955573,Candidate_2331,Uttar Pradesh,ST,104,14.44,39216,1644,8978,No,140
2020,NEET764290,Candidate_6054,Delhi,SC,676,93.89,157828,2173,9259,Yes,108
2017,NEET550813,Candidate_1156,Tamil Nadu,General,318,44.17,157762,2727,9796,Yes,150
2020,NEET964102,Candidate_8690,Tamil Nadu,EWS,387,53.75,57114,3609,9974,Yes,145
2022,NEET504711,Candidate_9794,Tamil Nadu,EWS,148,20.56,124368,2947,539,Yes,142
2020,NEET947633,Candidate_6116,Tamil Nadu,EWS,658,91.39,73589,2610,3328,Yes,138
2023,NEET861918,Candidate_7347,Delhi,SC,221,30.69,8421,3860,5718,Yes,114
2021,NEET764913,Candidate_3926,West Bengal,ST,437,60.69,158798,1164,3953,Yes,105
2017,NEET126508,Candidate_5712,Maharashtra,General,650,90.28,52393,1776,366,Yes,145
2020,NEET498560,Candidate_6365,Karnataka,General,525,72.92,24879,2320,3003,Yes,146
2016,NEET174605,Candidate_9362,Delhi,General,595,82.64,97722,3664,6924,Yes,149
2015,NEET250878,Candidate_7323,Tamil Nadu,SC,295,40.97,8166,2396,6102,Yes,111
2024,NEET503706,Candidate_8148,Karnataka,General,509,70.69,15293,1989,8395,Yes,141
2024,NEET861560,Candidate_7927,Uttar Pradesh,EWS,208,28.89,84496,1490,3664,Yes,149
2022,NEET678593,Candidate_1057,Maharashtra,General,233,32.36,10822,4572,7247,Yes,149
2017,NEET346991,Candidate_6197,Maharashtra,OBC,178,24.72,187530,4763,9262,Yes,141
2019,NEET739643,Candidate_9323,Tamil Nadu,EWS,418,58.06,128935,2454,8010,Yes,148
2019,NEET600205,Candidate_4873,Maharashtra,SC,679,94.31,164890,4429,2371,Yes,127
2023,NEET205105,Candidate_8043,Tamil Nadu,SC,185,25.69,197375,748,4005,Yes,137
2017,NEET420491,Candidate_3382,Tamil Nadu,General,707,98.19,191775,3495,3257,Yes,150
2024,NEET329555,Candidate_1226,Delhi,OBC,680,94.44,169982,3693,9962,Yes,147
2020,NEET578206,Candidate_9669,Uttar Pradesh,EWS,271,37.64,88143,3393,7710,Yes,147
2019,NEET628948,Candidate_1218,Delhi,SC,695,96.53,198792,353,127,Yes,119
2018,NEET785959,Candidate_9830,Karnataka,SC,483,67.08,44208,3295,118,Yes,135
2017,NEET477009,Candidate_1355,West Bengal,General,137,19.03,134992,4907,9750,No,141
2022,NEET768475,Candidate_7262,Uttar Pradesh,OBC,529,73.47,86104,4652,44,Yes,141
2020,NEET227137,Candidate_9473,Maharashtra,SC,593,82.36,111498,2423,8425,Yes,130
2018,NEET334746,Candidate_6475,Maharashtra,EWS,219,30.42,116968,4946,2053,Yes,145
2022,NEET663724,Candidate_7286,Maharashtra,ST,588,81.67,108759,3350,7104,Yes,123
2022,NEET852340,Candidate_8134,Maharashtra,ST,391,54.31,78037,3647,7242,Yes,119
2018,NEET152329,Candidate_8028,Karnataka,ST,464,64.44,35153,2121,7489,Yes,107
2021,NEET299288,Candidate_3271,Karnataka,OBC,699,97.08,155240,2006,1260,Yes,147
2022,NEET539500,Candidate_4601,Tamil Nadu,OBC,301,41.81,116670,1234,4250,Yes,150
2023,NEET564578,Candidate_4056,Tamil Nadu,General,400,55.56,172712,1738,6779,Yes,148
2018,NEET677041,Candidate_6704,Uttar Pradesh,OBC,411,57.08,192263,1839,3269,Yes,148
2017,NEET322459,Candidate_4783,Karnataka,OBC,527,73.19,37878,1844,1436,Yes,138
2016,NEET100399,Candidate_2141,West Bengal,General,615,85.42,50475,4723,3084,Yes,145
2022,NEET456211,Candidate_9044,Uttar Pradesh,General,130,18.06,177635,749,3525,No,140
2023,NEET390654,Candidate_6053,Karnataka,EWS,681,94.58,179186,294,2769,Yes,146
2019,NEET747630,Candidate_4907,Tamil Nadu,General,246,34.17,14000,292,8545,Yes,139
2015,NEET309608,Candidate_2145,Karnataka,EWS,332,46.11,56761,3413,8469,Yes,143
2023,NEET410973,Candidate_4986,Tamil Nadu,General,482,66.94,112567,1732,6105,Yes,145
2017,NEET600412,Candidate_1804,West Bengal,OBC,672,93.33,25554,4348,63,Yes,138
2019,NEET732461,Candidate_6710,Maharashtra,ST,283,39.31,40286,1373,7930,Yes,123
2018,NEET391454,Candidate_9609,Tamil Nadu,SC,368,51.11,78613,1191,6304,Yes,114
2019,NEET908563,Candidate_3224,West Bengal,EWS,487,67.64,6860,196,8149,Yes,140
2016,NEET176896,Candidate_7203,West Bengal,General,679,94.31,136202,4152,935,Yes,150
2019,NEET697194,Candidate_1040,Delhi,EWS,325,45.14,147721,2953,5317,Yes,146
2023,NEET328776,Candidate_8354,Maharashtra,ST,482,66.94,127426,1113,3996,Yes,102
2016,NEET239738,Candidate_2675,Maharashtra,General,217,30.14,35005,1556,6514,Yes,139
2015,NEET221766,Candidate_8906,Karnataka,EWS,566,78.61,22339,1810,6345,Yes,144
2023,NEET999545,Candidate_8727,Maharashtra,SC,523,72.64,76835,237,5632,Yes,135
2017,NEET485887,Candidate_9178,Uttar Pradesh,EWS,215,29.86,179696,4022,7118,Yes,146
2023,NEET348857,Candidate_9192,Delhi,OBC,393,54.58,70133,3983,3267,Yes,150
2020,NEET146011,Candidate_6491,Delhi,SC,645,89.58,29243,2761,1697,Yes,109
2022,NEET431193,Candidate_4207,Tamil Nadu,EWS,167,23.19,191866,2359,1928,Yes,150
2021,NEET199772,Candidate_8147,Tamil Nadu,ST,323,44.86,33867,2033,750,Yes,121
2021,NEET202524,Candidate_8016,Tamil Nadu,ST,161,22.36,186886,1670,1804,Yes,106
2022,NEET113896,Candidate_9703,Tamil Nadu,OBC,151,20.97,83151,1032,5997,Yes,148
2021,NEET456539,Candidate_2838,Karnataka,OBC,242,33.61,45860,4501,8994,Yes,147
2020,NEET163347,Candidate_8996,Tamil Nadu,ST,639,88.75,163484,2957,4031,Yes,108
2024,NEET135836,Candidate_8712,Tamil Nadu,OBC,548,76.11,162631,1030,6837,Yes,144
2018,NEET565301,Candidate_6536,Tamil Nadu,OBC,199,27.64,156850,4015,7784,Yes,143
2018,NEET924419,Candidate_8042,Tamil Nadu,SC,496,68.89,6117,2646,1671,Yes,129
2019,NEET478328,Candidate_1122,Delhi,SC,652,90.56,163765,4474,6723,Yes,117
2017,NEET858216,Candidate_4472,West Bengal,General,273,37.92,69332,4938,607,Yes,145
2020,NEET142583,Candidate_6087,Maharashtra,OBC,129,17.92,81568,1516,2534,No,140
2018,NEET174655,Candidate_2313,Tamil Nadu,ST,499,69.31,27814,3448,9602,Yes,137
2021,NEET287381,Candidate_4754,Maharashtra,EWS,717,99.58,134168,1937,5096,Yes,150
2019,NEET693751,Candidate_6404,West Bengal,OBC,127,17.64,130770,4940,6741,No,146
2022,NEET878802,Candidate_1434,Tamil Nadu,OBC,418,58.06,196318,1516,590,Yes,145
2017,NEET609538,Candidate_5143,Karnataka,SC,715,99.31,101216,4019,4486,Yes,106
2022,NEET372489,Candidate_9701,Delhi,SC,386,53.61,23368,4895,8309,Yes,114
2017,NEET515557,Candidate_4917,Delhi,OBC,240,33.33,341,970,8752,Yes,148
2018,NEET833540,Candidate_4896,Uttar Pradesh,OBC,509,70.69,54773,3137,1899,Yes,138
2021,NEET333030,Candidate_7998,Delhi,OBC,597,82.92,130542,844,4890,Yes,149
2023,NEET632368,Candidate_6626,Tamil Nadu,General,200,27.78,58983,3373,9645,Yes,138
2017,NEET893228,Candidate_2507,Delhi,ST,622,86.39,142051,990,3763,Yes,132
2017,NEET280262,Candidate_9236,Tamil Nadu,General,249,34.58,102520,4181,190,Yes,149
2017,NEET553323,Candidate_9460,Tamil Nadu,OBC,543,75.42,186072,600,1286,Yes,149
2017,NEET762184,Candidate_2899,West Bengal,EWS,372,51.67,180664,908,3017,Yes,150
2017,NEET513307,Candidate_4374,Maharashtra,General,335,46.53,122075,4372,5822,Yes,141
2021,NEET281331,Candidate_9661,Uttar Pradesh,General,598,83.06,114443,3208,426,Yes,150
2017,NEET309457,Candidate_6368,Maharashtra,General,226,31.39,23104,1091,5504,Yes,144
2024,NEET612030,Candidate_1087,Tamil Nadu,OBC,165,22.92,185619,301,8354,Yes,144
2017,NEET802143,Candidate_3121,Uttar Pradesh,OBC,508,70.56,114689,1823,8883,Yes,139
2023,NEET404778,Candidate_6174,Uttar Pradesh,OBC,704,97.78,144318,3389,6070,Yes,138
2021,NEET391563,Candidate_7453,Maharashtra,OBC,526,73.06,118234,3614,5224,Yes,150
2015,NEET533011,Candidate_8097,Maharashtra,ST,310,43.06,73623,4170,2489,Yes,134
2018,NEET742562,Candidate_8058,Maharashtra,SC,597,82.92,169056,2245,557,Yes,103
2020,NEET304192,Candidate_5859,Uttar Pradesh,General,110,15.28,161935,4694,8051,No,138
2023,NEET913033,Candidate_9447,Delhi,General,556,77.22,180762,744,3885,Yes,150
2018,NEET178342,Candidate_6154,West Bengal,EWS,529,73.47,190737,2305,4441,Yes,147
2020,NEET852670,Candidate_4146,West Bengal,OBC,396,55.0,71460,2169,1620,Yes,150
2018,NEET968194,Candidate_2685,Delhi,SC,612,85.0,198946,154,7007,Yes,119
2020,NEET509802,Candidate_7506,Karnataka,SC,583,80.97,182057,4830,5309,Yes,133
2016,NEET637400,Candidate_1645,Uttar Pradesh,EWS,336,46.67,142420,3966,7009,Yes,148
2017,NEET379773,Candidate_7482,Maharashtra,SC,150,20.83,64955,311,8881,Yes,129
2018,NEET500948,Candidate_8101,Tamil Nadu,EWS,123,17.08,8093,2824,3995,No,142
2019,NEET313720,Candidate_8248,Delhi,SC,198,27.5,107332,4515,9014,Yes,106
2022,NEET596832,Candidate_9651,Maharashtra,SC,380,52.78,44946,123,2628,Yes,104
2019,NEET321004,Candidate_1780,Uttar Pradesh,ST,588,81.67,83831,1528,5704,Yes,131
2015,NEET285046,Candidate_2260,Uttar Pradesh,General,463,64.31,169763,98,4292,Yes,141
2016,NEET208282,Candidate_3288,Uttar Pradesh,OBC,513,71.25,120625,2355,148,Yes,142
2018,NEET300271,Candidate_3374,Tamil Nadu,EWS,138,19.17,100342,2086,942,Yes,146
2021,NEET131060,Candidate_1419,Tamil Nadu,SC,408,56.67,71347,4394,1122,Yes,130
2015,NEET396214,Candidate_5730,Uttar Pradesh,SC,400,55.56,183460,2695,4786,Yes,107
2020,NEET455277,Candidate_4767,Tamil Nadu,EWS,238,33.06,178699,1685,8724,Yes,149
2021,NEET457781,Candidate_9128,Karnataka,General,511,70.97,71609,3133,7340,Yes,138
2024,NEET390206,Candidate_5284,Maharashtra,SC,217,30.14,85587,2942,1469,Yes,105
2023,NEET385002,Candidate_1965,Tamil Nadu,OBC,424,58.89,5304,3108,6689,Yes,143
2021,NEET799719,Candidate_5817,Tamil Nadu,EWS,323,44.86,140497,4369,8684,Yes,145
2015,NEET365812,Candidate_8187,Delhi,SC,639,88.75,23747,3425,9427,Yes,120
2024,NEET850489,Candidate_8719,Maharashtra,EWS,490,68.06,22354,895,3923,Yes,150
2023,NEET115102,Candidate_7879,Tamil Nadu,ST,280,38.89,95534,1484,6975,Yes,104
2021,NEET914767,Candidate_8221,Uttar Pradesh,General,459,63.75,120541,3936,5673,Yes,146
2016,NEET267799,Candidate_2624,Tamil Nadu,SC,234,32.5,51058,4562,9979,Yes,124
2020,NEET404403,Candidate_2536,Karnataka,OBC,551,76.53,111678,4726,8039,Yes,144
2024,NEET272261,Candidate_2464,Tamil Nadu,General,640,88.89,71169,1789,5185,Yes,143
2016,NEET877421,Candidate_2211,Delhi,OBC,420,58.33,32409,1437,9580,Yes,143
2020,NEET482056,Candidate_6859,West Bengal,OBC,427,59.31,167252,321,86,Yes,146
2022,NEET245973,Candidate_5839,Tamil Nadu,EWS,714,99.17,62970,3811,8894,Yes,140
2023,NEET720349,Candidate_7936,Uttar Pradesh,General,445,61.81,75429,839,3301,Yes,143
2020,NEET375694,Candidate_9137,Tamil Nadu,ST,417,57.92,75679,4057,954,Yes,129
2023,NEET826821,Candidate_7653,Maharashtra,OBC,163,22.64,177983,1801,2203,Yes,145
2022,NEET380574,Candidate_2483,West Bengal,General,166,23.06,112953,4508,69,Yes,141
2022,NEET504990,Candidate_5459,Delhi,SC,161,22.36,91080,4062,1081,Yes,128
2024,NEET328529,Candidate_9994,Maharashtra,OBC,568,78.89,169888,2587,2195,Yes,140
2021,NEET559559,Candidate_3370,Delhi,General,523,72.64,72666,2477,5343,Yes,150
2015,NEET497737,Candidate_8657,Karnataka,General,383,53.19,189081,3764,392,Yes,140
2015,NEET618636,Candidate_7379,Uttar Pradesh,ST,188,26.11,133122,380,6908,Yes,139
2024,NEET967928,Candidate_1796,Uttar Pradesh,OBC,636,88.33,529,1357,4884,Yes,143
2022,NEET187428,Candidate_8512,West Bengal,General,413,57.36,74277,1128,2805,Yes,145
2024,NEET435373,Candidate_6790,Maharashtra,SC,567,78.75,178786,2139,9487,Yes,130
2017,NEET578474,Candidate_8506,Delhi,General,713,99.03,67903,3833,5422,Yes,140
2021,NEET751082,Candidate_2690,Uttar Pradesh,EWS,308,42.78,75623,2809,4147,Yes,150
2024,NEET702128,Candidate_9794,Delhi,ST,324,45.0,160068,9,2859,Yes,112
2023,NEET564010,Candidate_7817,Tamil Nadu,EWS,435,60.42,145688,202,3484,Yes,139
2023,NEET646189,Candidate_2813,Tamil Nadu,SC,626,86.94,169012,2620,9223,Yes,111
2020,NEET263230,Candidate_3610,Uttar Pradesh,General,297,41.25,22623,2474,8331,Yes,141
2018,NEET245386,Candidate_4023,West Bengal,EWS,491,68.19,61572,2355,1716,Yes,140
2020,NEET125740,Candidate_6736,Delhi,OBC,209,29.03,33871,4467,2893,Yes,149
