time (min),uvrD,lexA,umuDC,recA,uvrA,uvrY,ruvA,polB
144,0.0188548773,0.0823636291,0.0150723474,0.1892896676,0.0555644247,0.0075699109,0.0000000000,0.0108642444
150,0.0176950250,0.0877968538,0.0118701847,0.2046469065,0.0526524456,0.0069666112,0.0000000000,0.0131270590
156,0.0255996613,0.0764426490,0.0091429882,0.1939886131,0.0407209607,0.0083866586,0.0000000000,0.0122648873
162,0.0251873184,0.0626593694,0.0091160867,0.1654006783,0.0311603375,0.0067606603,0.0000000000,0.0111495769
168,0.0233509590,0.0716740242,0.0088550096,0.1627974051,0.0335073847,0.0110071311,0.0000000000,0.0101881783
174,0.0136483310,0.0737948340,0.0139614470,0.1917800426,0.0333464166,0.0134639894,0.0013578652,0.0049820730
180,0.0134203296,0.0820416929,0.0147248327,0.1925002095,0.0423892958,0.0148540482,0.0000057331,0.0040630113
186,0.0100541117,0.0841801431,0.0145184408,0.1485373953,0.0509192822,0.0169673610,0.0000000000,0.0014368057
192,0.0144403823,0.0827036467,0.0147032233,0.1399999118,0.0519605033,0.0183261081,0.0000000000,0.0039532002
198,0.0184835482,0.0703201281,0.0133127235,0.1472518555,0.0489369490,0.0178767205,0.0000000000,0.0038433891
204,0.0193646832,0.0478944049,0.0119482432,0.1301319056,0.0454922316,0.0129705009,0.0000000000,0.0032321513
210,0.0172010955,0.0453197973,0.0115998465,0.0943114314,0.0367893699,0.0096197184,0.0000000000,0.0035029305
216,0.0165206194,0.0472236310,0.0101079148,0.1110300635,0.0326818168,0.0112007338,0.0000000000,0.0028105472
222,0.0145391682,0.0467460188,0.0090944772,0.1300692824,0.0355324957,0.0079328609,0.0000000000,0.0015682262
228,0.0137131593,0.0537567309,0.0087628389,0.1370416268,0.0438146353,0.0084492818,0.0000000000,0.0032775752
234,0.0128465776,0.0541205629,0.0070653972,0.1144227419,0.0365181497,0.0065256027,0.0000000000,0.0024647965
240,0.0124770124,0.0577765233,0.0064435752,0.1083853356,0.0346006447,0.0077926202,0.0006050637,0.0024308388
246,0.0122953169,0.0554352092,0.0081807076,0.0821925178,0.0319651780,0.0052316838,0.0000000000,0.0007479504
252,0.0120033693,0.0492077282,0.0059769882,0.0577072850,0.0199984124,0.0061573607,0.0000000000,0.0023646876
258,0.0143402733,0.0505479531,0.0058777613,0.0567855773,0.0154644040,0.0066168915,0.0000000000,0.0000000000
264,0.0214563865,0.0577156642,0.0079377120,0.0803261699,0.0149951710,0.0077105926,0.0000000000,0.0000000000
270,0.0208649941,0.0508306395,0.0086803703,0.0909403624,0.0153603260,0.0069661702,0.0034134058,0.0000000000
276,0.0204367748,0.0445656728,0.0076378262,0.0891009160,0.0149294607,0.0060008026,0.0061375153,0.0000000000
282,0.0144888932,0.0443151800,0.0076845731,0.0848570912,0.0155517237,0.0011091364,0.0033842992,0.0000000000
288,0.0073710160,0.0392651916,0.0060987065,0.0397948428,0.0153338655,0.0000000000,0.0015439708,0.0000000000
294,0.0072413595,0.0349904963,0.0055447998,0.0279789021,0.0138459028,0.0000000000,0.0000000000,0.0000000000
